id,team_id,year,att,made,range
1013,13,1976,0,0,5
1014,14,1976,1,1,0
1015,14,1976,5,5,1
1016,14,1976,4,4,2
1017,14,1976,6,1,3
1018,14,1976,0,0,4
1019,14,1976,0,0,5
1020,15,1976,2,2,0
1021,15,1976,4,2,1
1022,15,1976,5,1,2
1023,15,1976,10,5,3
1024,15,1976,0,0,4
1025,15,1976,0,0,5
1026,16,1976,1,1,0
1027,16,1976,3,3,1
1028,16,1976,11,3,2
1029,16,1976,2,0,3
1030,16,1976,0,0,4
1031,16,1976,0,0,5
1032,18,1976,1,1,0
1033,18,1976,5,5,1
1034,18,1976,5,3,2
1035,18,1976,5,2,3
1036,18,1976,0,0,4
1037,18,1976,0,0,5
1038,19,1976,1,1,0
1039,19,1976,6,4,1
1040,19,1976,6,5,2
1041,19,1976,10,4,3
1042,19,1976,0,0,4
1043,19,1976,0,0,5
1044,30,1976,1,1,0
1045,30,1976,4,4,1
1046,30,1976,10,7,2
1047,30,1976,8,3,3
1048,30,1976,0,0,4
1049,30,1976,0,0,5
1050,20,1976,1,1,0
1051,20,1976,3,3,1
1052,20,1976,8,4,2
1053,20,1976,5,2,3
1054,20,1976,0,0,4
1055,20,1976,0,0,5
1056,22,1976,1,0,0
1057,22,1976,4,4,1
1058,22,1976,6,4,2
1059,22,1976,14,7,3
1060,22,1976,0,0,4
1061,22,1976,0,0,5
1062,23,1976,0,0,0
1063,23,1976,2,2,1
1064,23,1976,8,4,2
