id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
402,24,1984,40,489,2,6,2,83,4,3
403,11,1984,55,474,0,5,1,46,2,1
404,26,1984,33,268,0,1,1,61,18,2
405,27,1984,44,484,1,4,2,47,11,2
406,28,1984,61,696,1,11,1,76,2,5
407,31,1984,31,217,0,1,0,21,10,4
408,0,1985,38,258,0,1,0,22,14,5
409,1,1985,54,503,0,3,1,47,10,4
410,2,1985,32,268,0,2,0,26,8,1
411,3,1985,38,293,0,3,0,30,6,5
412,4,1985,46,429,0,2,0,38,11,4
413,5,1985,47,371,1,2,0,37,8,4
414,6,1985,25,229,0,2,0,29,9,4
415,7,1985,40,393,0,3,0,31,12,2
416,8,1985,25,213,0,1,0,24,11,3
417,9,1985,43,381,0,1,1,57,7,3
418,10,1985,42,449,1,2,1,70,9,2
419,12,1985,40,237,0,2,0,28,14,1
420,13,1985,39,319,0,2,0,21,14,3
421,14,1985,45,393,0,2,1,56,10,1
422,15,1985,31,223,0,0,0,23,8,2
423,16,1985,53,442,0,2,0,37,18,0
424,18,1985,39,386,0,5,2,46,14,2
425,19,1985,38,403,1,3,1,63,5,3
426,30,1985,30,250,0,2,0,23,11,2
427,20,1985,38,370,0,3,1,46,10,1
428,22,1985,42,530,2,7,4,85,16,5
429,23,1985,71,785,0,9,0,32,8,4
430,24,1985,38,501,1,4,1,80,16,5
431,11,1985,47,508,0,7,0,37,11,3
432,26,1985,30,215,0,0,0,17,18,3
433,27,1985,53,483,0,5,0,32,11,3
434,28,1985,49,483,2,3,2,71,4,3
435,31,1985,25,250,0,3,1,41,8,0
436,0,1986,43,397,1,4,1,76,19,4
437,1,1986,57,482,0,4,0,35,9,5
438,2,1986,29,235,0,1,0,25,17,2
439,3,1986,32,247,1,2,1,49,13,7
440,4,1986,48,552,2,5,2,70,8,4
441,5,1986,41,350,1,2,1,84,10,3
442,6,1986,26,110,0,0,0,12,5,2
443,7,1986,45,528,2,5,3,71,16,2
444,8,1986,37,334,0,3,0,30,16,3
445,9,1986,35,265,0,1,1,48,18,3
446,10,1986,35,250,0,1,0,25,13,5
447,12,1986,46,252,0,2,0,28,17,7
448,13,1986,40,297,1,2,1,71,11,9
449,14,1986,44,374,1,2,2,76,16,5
450,15,1986,44,292,0,1,0,30,12,4
451,16,1986,41,287,0,2,0,22,20,4
452,18,1986,39,341,0,4,0,28,9,3
453,19,1986,43,420,1,4,1,81,9,2
454,30,1986,43,341,0,2,0,25,15,3
455,20,1986,33,316,1,4,2,83,7,1
456,22,1986,42,396,1,4,2,59,12,5
457,23,1986,56,484,1,3,1,70,16,3
458,24,1986,42,361,0,3,0,32,22,2
459,11,1986,51,550,0,5,1,44,20,3
460,26,1986,47,377,0,3,0,39,15,5
461,27,1986,39,457,1,4,2,75,14,4
462,28,1986,36,310,0,2,2,41,13,2
463,31,1986,31,215,0,0,0,15,17,3
464,0,1987,34,365,1,3,2,83,9,1
465,1,1987,50,484,2,4,2,94,6,6
466,2,1987,34,293,0,1,0,21,9,1
467,3,1987,31,232,0,1,0,23,15,3
468,4,1987,48,486,1,4,1,71,4,5
469,5,1987,44,487,0,6,1,40,12,4
470,6,1987,31,257,0,4,0,22,8,2
471,7,1987,44,550,1,10,1,76,7,0
472,8,1987,45,508,1,4,1,81,9,3
473,9,1987,32,346,1,4,2,85,8,1
474,10,1987,38,210,0,0,0,17,12,4
475,12,1987,41,353,0,2,0,38,6,3
476,13,1987,37,290,0,4,0,31,13,8
477,14,1987,34,202,0,2,0,37,24,4
478,15,1987,31,221,0,1,1,45,7,1
479,16,1987,55,448,0,4,0,37,14,5
480,18,1987,42,497,2,6,4,91,12,5
481,19,1987,35,303,0,2,1,54,12,2
482,30,1987,37,249,0,3,0,26,14,2
483,20,1987,35,245,0,3,1,48,6,7
484,22,1987,25,213,0,4,0,36,17,3
485,23,1987,44,356,1,3,1,55,7,3
486,24,1987,40,245,0,2,0,29,10,7
487,11,1987,56,615,0,8,2,73,10,1
488,26,1987,41,468,0,4,2,80,7,4
489,27,1987,32,322,0,3,1,40,8,2
490,28,1987,36,244,0,1,0,20,5,3
491,31,1987,36,420,1,6,1,78,12,2
492,0,1988,55,614,2,7,2,95,16,5
493,1,1988,38,294,0,2,0,23,9,6
494,2,1988,32,244,0,1,0,20,18,1
495,3,1988,26,152,0,1,0,24,8,2
496,4,1988,53,451,0,3,0,24,5,4
497,5,1988,40,325,0,5,0,32,6,3
498,6,1988,36,328,0,6,1,40,13,5
499,7,1988,52,463,0,2,0,28,11,1
500,8,1988,35,314,0,3,0,24,16,3
501,9,1988,32,215,0,0,0,16,6,2
502,10,1988,26,254,1,2,1,73,12,0
503,12,1988,45,360,0,4,0,21,15,2
504,13,1988,27,259,0,3,0,36,10,1
505,14,1988,33,233,0,1,0,24,25,3
506,15,1988,42,343,0,2,1,68,9,6
507,16,1988,47,359,0,2,0,35,25,3
508,18,1988,38,418,1,6,1,59,10,1
509,19,1988,42,346,0,4,0,25,8,2
510,30,1988,36,225,0,1,0,26,10,1
511,20,1988,35,208,1,1,1,63,18,7
512,22,1988,38,398,0,5,0,30,9,2
513,23,1988,55,489,0,2,0,36,10,3
514,24,1988,49,322,0,2,1,46,11,4
515,11,1988,52,377,0,3,0,34,9,6
516,26,1988,35,413,1,5,1,66,12,3
517,27,1988,37,340,0,2,1,41,8,3
518,28,1988,39,322,0,2,0,28,12,2
519,31,1988,59,553,0,3,1,64,20,2
520,0,1989,40,429,0,5,0,37,20,3
521,1,1989,32,220,0,1,0,24,8,3
522,2,1989,38,221,0,0,0,17,13,3
523,3,1989,33,301,0,1,0,26,12,1
524,4,1989,45,344,0,3,0,38,9,7
525,5,1989,49,496,0,9,3,49,15,0
526,6,1989,32,296,0,2,1,55,4,1
527,7,1989,40,469,0,5,1,53,13,1
528,8,1989,38,272,0,2,1,52,20,6
529,9,1989,44,331,0,2,0,21,7,3
530,10,1989,26,322,1,4,2,49,12,1
531,12,1989,31,197,0,0,0,17,11,1
532,13,1989,33,338,1,1,1,70,11,3
533,14,1989,37,331,0,3,0,28,12,2
534,15,1989,32,341,1,2,1,68,7,2
535,16,1989,46,582,1,7,2,76,14,4
536,18,1989,33,299,0,4,0,30,12,3
537,19,1989,47,572,0,8,1,74,8,3
538,30,1989,19,122,0,0,0,19,21,3
539,20,1989,35,289,0,0,0,17,9,1
540,22,1989,45,379,0,4,0,28,6,3
541,23,1989,40,378,0,2,0,29,9,1
542,24,1989,35,332,0,3,0,25,24,1
543,11,1989,26,226,0,1,0,38,20,4
544,26,1989,55,440,1,3,2,57,9,4
545,27,1989,30,251,0,1,0,21,17,2
546,28,1989,40,278,0,1,0,20,2,1
547,31,1989,45,448,0,3,2,65,27,4
548,0,1990,48,356,0,0,0,30,16,0
549,1,1990,36,399,1,0,0,95,13,0
550,2,1990,30,255,1,0,0,66,14,0
551,3,1990,25,177,0,1,0,25,9,0
552,4,1990,33,256,0,0,0,32,12,0
553,5,1990,31,209,0,0,0,25,15,0
554,6,1990,23,184,0,0,0,16,15,0
555,7,1990,40,342,0,0,0,20,7,0
556,8,1990,35,336,2,0,0,63,16,0
557,9,1990,37,254,0,0,0,37,6,0
558,10,1990,36,402,0,0,0,36,9,0
559,12,1990,39,250,0,0,0,20,11,0
560,13,1990,39,233,0,2,0,35,18,6
561,14,1990,40,315,0,0,0,30,11,0
562,15,1990,35,279,1,0,0,79,17,0
563,16,1990,43,467,1,0,0,68,12,0
564,18,1990,30,319,1,0,0,98,11,0
565,19,1990,35,361,0,0,0,39,7,0
566,30,1990,30,172,0,0,0,26,21,0
567,20,1990,32,308,0,0,0,25,9,0
568,22,1990,29,134,0,0,0,17,10,0
569,23,1990,34,295,0,0,0,39,8,0
570,24,1990,35,346,0,0,0,26,7,0
571,11,1990,48,388,0,0,0,32,17,0
572,26,1990,45,400,0,0,0,33,9,0
573,27,1990,36,337,0,0,0,39,16,0
574,28,1990,39,398,1,0,0,52,8,0
575,31,1990,33,225,0,0,0,30,24,0
576,0,1991,42,320,0,3,0,24,15,4
577,1,1991,47,340,0,3,0,37,15,6
578,2,1991,29,280,1,4,1,78,11,1
579,3,1991,26,281,0,4,2,59,16,4
580,4,1991,41,284,0,1,0,20,17,4
581,5,1991,31,251,0,2,0,31,10,2
582,6,1991,39,361,0,4,0,33,15,3
583,7,1991,41,307,0,0,0,19,6,5
584,8,1991,33,328,0,4,1,48,25,2
585,9,1991,34,258,0,1,0,25,6,3
586,10,1991,27,171,0,1,0,22,14,2
587,12,1991,29,309,1,2,1,85,12,2
588,13,1991,30,258,0,1,0,32,12,4
589,14,1991,53,416,0,2,1,40,9,4
590,15,1991,36,289,0,1,0,23,18,1
591,16,1991,36,336,1,1,1,70,10,5
592,18,1991,23,157,0,1,0,25,10,2
593,19,1991,26,385,1,5,2,78,14,3
594,30,1991,36,244,0,4,0,29,11,7
595,20,1991,41,396,0,2,1,62,7,4
596,22,1991,31,211,0,2,0,39,14,5
597,23,1991,29,330,1,3,1,75,10,1
598,24,1991,37,320,0,3,0,29,9,4
