id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
456,22,1986,44,97.8,0,49,1
457,23,1986,36,100.0,0,52,2
458,24,1986,34,97.1,0,50,1
459,11,1986,38,84.4,0,57,1
460,26,1986,30,100.0,0,53,0
461,27,1986,42,100.0,0,54,1
462,28,1986,32,100.0,0,45,1
463,31,1986,44,93.6,0,53,2
464,0,1987,55,93.2,0,45,1
465,1,1987,38,95.0,0,52,1
466,2,1987,28,93.3,0,46,4
467,3,1987,32,97.0,0,45,1
468,4,1987,44,100.0,0,51,1
469,5,1987,44,97.8,0,48,1
470,6,1987,31,93.9,0,50,2
471,7,1987,44,95.6,0,48,2
472,8,1987,26,92.9,0,47,1
473,9,1987,30,100.0,0,54,1
474,10,1987,31,100.0,0,50,0
475,12,1987,37,100.0,0,50,1
476,13,1987,44,95.6,0,48,0
477,14,1987,38,95.0,0,49,0
478,15,1987,23,100.0,0,50,1
479,16,1987,28,96.6,0,53,1
480,18,1987,38,100.0,0,42,0
481,19,1987,27,100.0,0,53,1
482,30,1987,37,97.4,0,52,2
483,20,1987,24,92.3,0,48,3
484,22,1987,38,97.4,0,50,0
485,23,1987,34,97.1,0,48,2
486,24,1987,36,94.7,0,48,1
487,11,1987,43,93.5,0,41,1
488,26,1987,43,95.6,0,52,1
489,27,1987,44,100.0,0,49,0
490,28,1987,31,100.0,0,52,1
491,31,1987,40,97.6,0,51,1
492,0,1988,40,97.6,0,52,1
493,1,1988,37,97.4,0,45,0
494,2,1988,56,94.9,0,50,1
495,3,1988,33,100.0,0,49,0
496,4,1988,36,97.3,0,51,0
497,5,1988,32,97.0,0,47,2
498,6,1988,28,100.0,0,53,2
499,7,1988,42,95.4,0,51,0
500,8,1988,27,100.0,0,48,1
501,9,1988,23,100.0,0,51,1
502,10,1988,39,97.5,0,53,1
503,12,1988,32,100.0,0,50,1
504,13,1988,37,94.9,0,51,0
505,14,1988,42,97.7,0,50,1
506,15,1988,25,92.6,0,52,5
507,16,1988,39,95.1,0,50,0
508,18,1988,43,100.0,0,48,2
509,19,1988,22,95.6,0,48,0
510,30,1988,48,96.0,0,52,1
511,20,1988,23,79.3,0,50,2
512,22,1988,25,80.6,0,50,1
513,23,1988,37,94.9,0,50,1
514,24,1988,45,93.8,0,49,2
515,11,1988,40,97.6,0,46,0
516,26,1988,32,97.0,0,51,1
517,27,1988,39,100.0,0,47,1
518,28,1988,34,97.1,0,52,3
519,31,1988,48,98.0,0,49,1
520,0,1989,49,96.1,0,47,2
521,1,1989,43,95.6,0,46,1
522,2,1989,50,96.2,0,47,1
523,3,1989,46,97.9,0,48,0
524,4,1989,39,97.5,0,46,0
525,5,1989,40,100.0,0,50,1
526,6,1989,33,94.3,0,53,1
527,7,1989,28,96.6,0,50,1
528,8,1989,29,96.7,0,53,1
